task_id,employee_id,name,description,topic,date,status
1,0,'Task1','this is my first task','Cat1',2023-05-05,'completed'
2,0,'Task2','second task','Cat1',2023-01-05,'started'
3,0,'Task4','final task','Cat3',2024-05-05,'not started'
4,1,'Task5','preliminary research task','Cat2',2023-02-15,'completed'
5,2,'Task6','develop project timeline','Cat1',2023-03-22,'in progress'
6,0,'Task7','client meeting preparation','Cat3',2023-04-10,'completed'
7,5,'Task8','initial data collection','Cat4',2023-06-30,'not started'
8,1,'Task9','budget assessment','Cat2',2023-07-15,'started'
9,2,'Task10','final project report','Cat1',2023-08-01,'not started'
10,5,'Task11','stakeholder meeting','Cat3',2023-09-12,'completed'
11,0,'Task12','prototype testing','Cat2',2023-10-20,'in progress'
12,1,'Task13','marketing strategy development','Cat4',2023-11-05,'not started'
13,2,'Task14','finalize project outline','Cat1',2023-12-22,'completed'
14,5,'Task15','risk assessment','Cat2',2024-01-15,'started'
15,0,'Task16','review project goals','Cat3',2024-02-28,'in progress'
16,1,'Task17','conduct user feedback survey','Cat4',2024-03-05,'completed'
17,2,'Task18','prepare quarterly review','Cat1',2024-04-14,'not started'
18,5,'Task19','coordinate team workshop','Cat2',2024-06-18,'in progress'
19,0,'Task20','final data analysis','Cat3',2024-07-22,'completed'
20,1,'Task21','presentation prep','Cat4',2024-08-05,'started'
